Here is a Julia function that implements the given doc string:

```julia
function parse_music(music_string::String)::Vector{Int}
    notes = split(music_string)
    beats = Int[]
    for note in notes
        if note == "o"
            push_beats = 4
        elseif note == "o|"
            push_beats = 2
        elseif note == ".|"
            push_beats = 1
        else
            error("Invalid note: $note")
        end
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
        push_beats = push_beats
