

function match_parens(lst::Vector{String})::String
    s1, s2 = lst
    open_count1, open_count2 = count(==('('), s1), count(==('('), s2)
    close_count1, close_count2 = count(==(')'), s1), count(==(')'), s2)

    if open_count1 == close_count1 && open_count2 == close_count2
        return "Yes"
    else
        return "No"
    end
end

# Test cases
println(match_parens(["()(", ")"]) == "Yes")
println(match_parens([")", ")"]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(", ")"]) == "No")
println(match_parens(["(", "("]) == "No")
println(match_parens(["()", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "))"]) == "No")
println(match_parens(["(())", "))("]) == "No")
println(match_parens(["(())", "(()"]) == "Yes")
println(match_parens(["(())", "(("]) == "No")
println(match_parens(["(())", "()"]) == "Yes")
